date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2016-01-01,-6,-17,0.0,8.7,1,1,50,No moonrise,12:02 PM,07:52 AM,05:11 PM,-15,-18,-13,-18,15,1,88,0.0,1040,-6,10,89,8
2016-01-02,-2,-13,0.0,8.7,1,1,43,12:42 AM,12:31 PM,07:52 AM,05:11 PM,-11,-13,-9,-13,16,27,84,0.0,1036,-2,10,90,8
2016-01-03,1,-11,0.0,8.7,1,1,36,01:39 AM,01:01 PM,07:52 AM,05:12 PM,-8,-9,-6,-9,14,41,86,0.0,1031,1,10,99,7
2016-01-04,-0,-6,0.0,7.0,1,1,28,02:34 AM,01:34 PM,07:52 AM,05:13 PM,-8,-7,-4,-7,17,50,81,0.0,1027,-0,8,188,9
2016-01-05,2,-2,0.6,7.0,1,1,21,03:32 AM,02:09 PM,07:52 AM,05:14 PM,-2,-4,0,-4,29,55,86,1.0,1014,2,8,142,15
2016-01-06,3,-0,0.0,7.0,1,1,14,04:28 AM,02:50 PM,07:52 AM,05:15 PM,-1,-2,1,-2,19,54,88,0.8,1009,3,9,139,10
2016-01-07,2,-2,0.1,8.7,1,1,7,05:26 AM,03:36 PM,07:52 AM,05:16 PM,-1,-3,-0,-3,14,68,92,0.1,1009,2,7,211,8
2016-01-08,-0,-6,0.3,7.0,1,1,0,06:20 AM,04:27 PM,07:52 AM,05:17 PM,-3,-4,-2,-4,10,71,92,0.4,1015,-0,7,284,6
2016-01-09,-0,-8,0.0,8.7,1,1,0,07:13 AM,05:26 PM,07:52 AM,05:18 PM,-6,-6,-4,-6,8,45,90,0.0,1024,-0,9,164,4
2016-01-10,-2,-11,0.0,8.7,1,1,0,08:02 AM,06:28 PM,07:52 AM,05:19 PM,-8,-8,-6,-8,8,32,89,0.0,1029,-2,10,242,5
2016-01-11,-4,-13,0.0,8.7,1,1,8,08:47 AM,07:34 PM,07:51 AM,05:20 PM,-10,-12,-9,-12,8,21,91,0.0,1034,-4,8,142,4
2016-01-12,-2,-12,0.0,8.7,1,1,15,09:28 AM,08:41 PM,07:51 AM,05:21 PM,-10,-11,-8,-11,11,5,85,0.0,1034,-2,10,110,5
2016-01-13,0,-10,0.0,8.7,1,1,22,10:06 AM,09:50 PM,07:51 AM,05:22 PM,-9,-9,-6,-9,12,26,83,0.0,1025,0,10,142,6
2016-01-14,-0,-6,0.0,8.7,1,1,29,10:42 AM,10:59 PM,07:50 AM,05:23 PM,-5,-7,-4,-7,15,37,88,0.0,1020,-0,10,158,8
2016-01-15,-1,-4,0.0,7.0,1,1,37,11:18 AM,No moonset,07:50 AM,05:25 PM,-4,-6,-3,-6,15,66,93,0.0,1016,-1,8,221,9
2016-01-16,0,-6,0.0,5.3,1,1,44,11:53 AM,12:07 AM,07:50 AM,05:26 PM,-4,-6,-3,-6,17,59,92,0.0,1021,0,10,172,10
2016-01-17,2,-5,0.0,7.0,1,1,51,12:31 PM,01:15 AM,07:49 AM,05:27 PM,-1,-3,-0,-3,17,68,95,0.0,1023,2,6,204,9
2016-01-18,1,-1,0.6,3.7,1,1,59,01:12 PM,02:22 AM,07:49 AM,05:28 PM,-2,-3,0,-3,18,82,87,0.7,1020,1,7,160,9
2016-01-19,2,-7,0.0,8.7,1,1,66,01:57 PM,03:28 AM,07:48 AM,05:29 PM,-3,-5,-2,-5,19,41,92,0.0,1024,2,8,170,10
2016-01-20,1,-7,0.0,7.0,1,1,73,02:46 PM,04:31 AM,07:48 AM,05:30 PM,-3,-5,-1,-5,25,34,90,0.1,1023,1,9,231,14
2016-01-21,1,-8,0.0,8.7,1,1,80,03:41 PM,05:30 AM,07:47 AM,05:32 PM,-6,-7,-4,-7,13,6,89,0.0,1033,1,10,132,7
2016-01-22,3,-4,0.0,8.7,1,1,88,04:38 PM,06:23 AM,07:46 AM,05:33 PM,-4,-5,-2,-5,15,17,85,0.0,1027,3,9,114,7
2016-01-23,3,-4,0.0,7.0,1,1,95,05:38 PM,07:10 AM,07:46 AM,05:34 PM,-3,-4,-1,-4,20,56,85,0.0,1018,3,10,132,10
2016-01-24,0,-4,0.2,5.4,1,1,100,06:38 PM,07:52 AM,07:45 AM,05:35 PM,-2,-4,-2,-4,12,70,95,0.2,1017,0,3,291,7
2016-01-25,-1,-8,0.0,8.7,1,1,100,07:38 PM,08:29 AM,07:44 AM,05:36 PM,-6,-7,-5,-7,9,37,92,0.0,1027,-1,8,320,5
2016-01-26,-1,-10,0.0,8.7,1,1,83,08:36 PM,09:03 AM,07:44 AM,05:38 PM,-8,-8,-6,-8,9,18,89,0.0,1035,-1,9,159,5
2016-01-27,-0,-10,0.0,8.7,1,1,76,09:34 PM,09:34 AM,07:43 AM,05:39 PM,-8,-8,-6,-8,9,8,86,0.0,1036,-0,10,122,5
2016-01-28,1,-7,0.0,8.7,1,1,69,10:30 PM,10:03 AM,07:42 AM,05:40 PM,-7,-6,-4,-6,10,18,80,0.0,1029,1,10,115,5
